,species_name,plots_present,total_plots,presence_frequency,avg_distance_km,min_distance_km
202,Douglas-fir,110,169,0.650887573964497,1.3374142374242994,0.15750590658992816
122,Ponderosa pine,70,169,0.41420118343195267,1.3455816045441042,0.15750590658992816
17,Pacific silver fir,61,169,0.3609467455621302,1.3132887816391468,0.15750590658992816
108,Lodgepole pine,40,169,0.23668639053254437,1.4307966941308072,0.2635314156409786
263,Western hemlock,35,169,0.20710059171597633,1.4399803088918472,0.3288637538874708
242,Western red cedar,32,169,0.1893491124260355,1.4650152836092718,0.42220031859666524
11,Noble fir,14,169,0.08284023668639054,1.5750934555129594,0.5713501491675851
351,Red alder,9,169,0.05325443786982249,1.2140239523241638,0.3288637538874708
312,Bigleaf maple,2,169,0.011834319526627219,1.14275637238424,0.6720136472305235
