group,species,total_occurrences,coordinate_records
chanterelles,Cantharellus formosus,1492,300
chanterelles,Cantharellus cascadensis,72,72
chanterelles,Cantharellus formosus,1492,300
chanterelles,Cantharellus subalpinus,0,0
boletes,Boletus edulis,999,300
boletes,Boletus rex-veris,208,208
boletes,Boletus barrowsii,62,62
boletes,Boletus regineus,58,58
morels,Morchella esculenta,1,1
morels,Morchella elata,2,2
morels,Morchella importuna,380,300
morels,Morchella snyderi,221,221
matsutake,Tricholoma matsutake,0,0
matsutake,Tricholoma bakamatsutake,0,0
matsutake,Tricholoma caligatum,2,2
